TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3
f001350,여,50,42,42150,42,42210,11,11230,2,2,4,3,4,4,2,4,서울특별시,강원,2023-05-28~2023-05-29,3,6.0,2.0
f004815,남,40,42,42830,42,42150,28,28110,1,1,1,1,6,4,6,6,경기도,강원,2023-08-05~2023-08-06,1,3.0,7.0
f016393,여,40,48,48840,48,48240,30,30200,1,1,1,5,5,6,4,6,대구광역시,경북,2023-09-08~2023-09-08,2,5.0,3.0
f008592,여,30,42,42150,50,50130,41,41290,2,2,4,2,4,6,1,6,대구광역시,강원,2023-08-26~2023-08-26,8,3.0,7.0
f001503,남,50,42,42830,31,31170,48,48850,1,1,4,1,4,4,4,4,서울특별시,강원,2023-05-28~2023-05-29,2,1.0,
f014144,여,20,42,42150,42,42210,42,42830,5,1,1,1,1,1,1,7,서울특별시,강원,2023-09-09~2023-09-09,1,,
f014875,여,30,50,50130,47,47130,27,27290,3,3,2,4,4,3,1,7,경상남도,경북,2023-09-03~2023-09-03,8,1.0,2.0
f003868,여,40,27,27290,26,26710,29,29170,3,7,7,5,1,7,5,3,경상남도,부산,2023-07-09~2023-07-09,1,2.0,5.0
f011416,여,30,26,26230,27,27260,30,30170,5,6,2,5,5,4,2,5,부산광역시,대구,2023-09-09~2023-09-09,3,5.0,
f015468,여,40,50,50110,26,26110,11,11440,1,4,1,4,1,1,5,5,부산광역시,경남,2023-09-09~2023-09-09,7,8.0,2.0
f009231,남,30,27,27290,26,26500,42,42150,2,2,1,4,5,5,3,7,서울특별시,강원,2023-08-25~2023-08-26,7,1.0,3.0
f010597,남,20,26,26350,50,50130,11,11710,2,1,1,5,5,1,1,6,경기도,부산,2023-08-23~2023-08-23,3,7.0,1.0
f013682,여,20,47,47130,50,50110,11,11680,7,1,1,1,1,5,1,7,경상남도,부산,2023-09-16~2023-09-16,3,5.0,
f000855,여,60,42,42150,41,41480,41,41280,5,6,6,1,1,6,6,2,서울특별시,강원,2023-06-03~2023-06-04,2,3.0,1.0
f002647,남,20,50,50110,26,26350,42,42210,1,2,3,4,5,2,2,4,인천광역시,경북,2023-06-02~2023-06-03,2,3.0,1.0
f001963,여,20,27,27230,26,26350,47,47130,2,2,5,3,2,4,5,3,대구광역시,부산,2023-06-06~2023-06-07,2,7.0,3.0
