TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
g_g000836,G01,g000836,1;23;24;4;9,2023-06-03,2023-06-05,대중교통 등,광주 방문/거주지 구분 없음/39세 이하/특별미션,1;23;24;4;9,1;22;24
g_g000842,G06,g000842,27;24;24;27,2023-05-27,2023-05-30,자가용,충남 방문/거주지 구분 없음/40세 이상/특별미션,27;24;24;27,24;27;2
g_g000848,G05,g000848,21;26;28;5,2023-05-28,2023-05-29,자가용,충청권 방문/충청권 거주/40세 이상/나홀로 여행/일반미션,21;26;28;5,13;28;3
g_g000859,G06,g000859,11;21;22;24;26,2023-05-27,2023-05-30,자가용,충청권 방문/충청권 외 거주/39세 이하/자녀동반/일반미션,11;21;22;24;26,24;11;26
g_g000861,G03,g000861,2;27;3;6,2023-05-26,2023-05-28,자가용,전라권 방문/호남권 거주/40세 이상/3대 동반 여행/일반미션,2;27;3;6,6;9;27
g_g000862,G06,g000862,2;25;26;27;28,2023-06-02,2023-06-05,자가용,충청권 방문/충청권 거주/39세 이하/자녀동반/일반미션,2;25;26;27;28,2;11;22
g_g000864,G03,g000864,12;13;22;3;6,2023-06-04,2023-06-07,대중교통 등,전라권 방문/호남권 외 거주/39세 이하/나홀로 여행/일반미션,12;13;22;3;6,1;3;12
g_g000866,G03,g000866,2;24,2023-05-27,2023-05-30,자가용,전라권 방문/호남권 거주/40세 이상/3대 동반 여행/일반미션,2;24,6;9;2
g_g000867,G03,g000867,9;12;6;11;12;27;12;12;24;3;3,2023-05-27,2023-05-30,자가용,전라권 방문/호남권 외 거주/40세 이상/자녀동반/일반미션,9;12;6;11;12;27;12;12;24;3;3,3;22;12
g_g000869,G06,g000869,3;6;23;1;11;22;26;4;24,2023-06-02,2023-06-04,자가용,충남 방문/거주지 구분 없음/39세 이하/특별미션,3;6;23;1;11;22;26;4;24,3;22;24
g_g000871,G05,g000871,11;4,2023-05-29,2023-06-02,자가용,충청권 방문/충청권 외 거주/40세 이상/커플/일반미션,11;4,11;5;2
g_g000875,G05,g000875,10;2;21;3;6,2023-06-03,2023-06-07,자가용,충청권 방문/충청권 외 거주/39세 이하/자녀동반/일반미션,10;2;21;3;6,2;21;22
g_g000880,G03,g000880,12;2;23;28;6,2023-05-27,2023-05-30,자가용,전남 방문/거주지 구분 없음/39세 이하/특별미션,12;2;23;28;6,3;23;12
g_g000881,G06,g000881,11;2;3;6,2023-06-04,2023-06-07,자가용,충청권 방문/충청권 거주/40세 이상/부모 동반/일반미션,11;2;3;6,3;2;6
g_g000883,G06,g000883,10;28;25,2023-05-26,2023-05-29,자가용,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,10;28;25,25;28;24
g_g000892,G02,g000892,21;23;27,2023-05-27,2023-05-29,자가용,전북 방문/거주지 구분 없음/40세 이상/특별미션,21;23;27,2;23;27
g_g000898,G02,g000898,22;24;26,2023-06-02,2023-06-05,대중교통 등,전북 방문/거주지 구분 없음/39세 이하/특별미션,22;24;26,2;1;24
g_g000899,G05,g000899,1;11;21;24;3,2023-06-03,2023-06-06,자가용,충청권 방문/충청권 외 거주/40세 이상/자녀동반/일반미션,1;11;21;24;3,3;6;24
g_g000901,G06,g000901,10;2;3;5;9,2023-05-27,2023-05-30,자가용,충남 방문/거주지 구분 없음/40세 이상/특별미션,10;2;3;5;9,3;5;10
g_g000902,G06,g000902,21;22;23;3;6,2023-05-23,2023-05-25,대중교통 등,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,21;22;23;3;6,21;6;3
g_g000906,G06,g000906,11;24;3;4;5,2023-06-03,2023-06-05,자가용,충청권 방문/충청권 거주/40세 이상/자녀동반/일반미션,11;24;3;4;5,21;3;4
g_g000907,G03,g000907,2;23;5;6,2023-05-28,2023-05-30,대중교통 등,전라권 방문/호남권 외 거주/39세 이하/커플/일반미션,2;23;5;6,2;23;4
g_g000910,G02,g000910,12;13;3;4;6,2023-05-27,2023-05-29,자가용,전라권 방문/호남권 외 거주/39세 이하/부모 동반/일반미션,12;13;3;4;6,13;3;9
g_g000913,G03,g000913,2;4;6,2023-05-26,2023-05-28,자가용,전라권 방문/호남권 외 거주/40세 이상/자녀동반/일반미션,2;4;6,2;4;6
g_g000916,G04,g000916,22;2;26;5;1,2023-05-31,2023-06-01,자가용,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,22;2;26;5;1,2;6;26
g_g000917,G03,g000917,22;24;7,2023-05-26,2023-05-27,자가용,전라권 방문/호남권 외 거주/39세 이하/나홀로 여행/일반미션,22;24;7,24;22;6
g_g000920,G02,g000920,21;22;27;3;6,2023-05-23,2023-05-27,자가용,전북 방문/거주지 구분 없음/40세 이상/특별미션,21;22;27;3;6,21;22;1
g_g000931,G03,g000931,3;11,2023-06-05,2023-06-07,자가용,전라권 방문/호남권 외 거주/40세 이상/3대 동반 여행/일반미션,3;11,3;11;22
